Year,Sample,Enclosure,CB,NV,WY,UT
2012,SBFLE059,LE,0.0009,0.9921,0.0037,0.0034
2012,SBFLE060,LE,0.0048,0.9872,0.0019,0.0063
2012,SBFLE061,LE,0.0061,0.9856,0.0021,0.0061
2012,SBFLE062,LE,0.0011,0.9879,0.0051,0.0056
2012,SBFLE063,LE,0.005,0.9884,0.0017,0.0052
2012,SBFLE064/24,LE,0.0017,0.5905,0.3975,0.0104
2012,SBFLE065,LE,0.0009,0.9802,0.0026,0.0163
2012,SBFLE066,LE,0.0018,0.9874,0.0019,0.0092
2012,Scooch,LE,0.0025,0.99,0.0022,0.0052
2012,Betty,LE,0.0009,0.0272,0.0028,0.9691
2012,Early_Bird,LE,0.0008,0.0242,0.0029,0.9721
2012,Furaha/Dixi,LE,0.0012,0.9879,0.0067,0.0037
2012,Harriett,LE,0.0009,0.9805,0.0076,0.0111
2012,Meander,LE,0.0008,0.9851,0.0023,0.0121
2012,Peeper,LE,0.0007,0.0195,0.0021,0.9776
2012,Piglet,LE,0.0006,0.014,0.9836,0.0017
2012,Toni,LE,0.0008,0.0198,0.9773,0.0019
2012,Tuttut,LE,0.0016,0.0225,0.9737,0.0025
2012,Beaver,LE,0.0008,0.0199,0.0019,0.9778
2012,Campbell,LE,0.0047,0.983,0.0031,0.0093
2012,Chowder,LE,0.0008,0.9727,0.0177,0.0086
2012,Crackers,LE,0.0009,0.9852,0.0073,0.0066
2012,DuJour,LE,0.0009,0.9859,0.002,0.0112
2012,Gandoff,LE,0.0008,0.0261,0.9665,0.0069
2012,Hork,LE,0,0.0527,0.0029,0.9436
2012,Jordan,LE,0.0025,0.9902,0.0026,0.0047
2012,Kanga,LE,0.0007,0.0276,0.9676,0.0044
2012,Popeye,LE,0.0054,0.9792,0.0029,0.0122
2012,Soup,LE,0.0135,0.98,0.0019,0.0048
2012,Tolai,LE,0.0008,0.0168,0.0019,0.9812
2012,Twenty-four,LE,0.0037,0.9837,0.0046,0.008
2012,SBFN02,SE,0.6104,0.3818,0.0047,0.0035
2012,SBFN05,SE,0.8655,0.1123,0.0197,0.0027
2012,SBFN06,SE,0.6406,0.3494,0.0083,0.002
2012,SBFSE004,SE,0.6748,0.3157,0.007,0.0024
2012,SBFSE006,SE,0.4969,0.4834,0.013,0.007
2012,SBFSE012,SE,0.3344,0.6572,0.0048,0.0035
2012,SBFSE023,SE,0.5098,0.0627,0.0037,0.4239
2012,SBFSE029,SE,0.7978,0.1952,0.0051,0.0014
2012,SBFSE031,SE,0.3005,0.6821,0.0087,0.0084
2012,SBFSE038,SE,0.3584,0.3421,0.0039,0.2956
2012,SBFSE046,SE,0.5128,0.4793,0.0047,0.0035
2012,SBFSE056,SE,0.3776,0.6116,0.0076,0.0033
2012,SBFSE058/01,SE,0.3824,0.6094,0.0046,0.0035
2012,SBFSE059,SE,0.2645,0.7266,0.0056,0.0035
2012,SBFSE061,SE,0.6113,0.3792,0.0076,0.0014
2012,SBFSE062/02,SE,0.7887,0.2017,0.0067,0.0028
2012,SBFSE072,SE,0.7042,0.2894,0.0047,0.0016
2012,SBFSE077,SE,0.283,0.6941,0.0133,0.0096
2012,SBFSE082,SE,0.3858,0.2881,0.0041,0.3221
2012,SBFSE336A,SE,0.4365,0.5533,0.0076,0.0028
2012,SBFSE016,SE,0.0449,0.9398,0.0103,0.0048
2012,SBFSE041,SE,0.1294,0.8526,0.0083,0.0095
2012,SBFSE079,SE,0.0204,0.4586,0.009,0.5118
2012,SBFSE083,SE,0.0282,0.6059,0.0107,0.3552
2012,SBFSE085/33,SE,0.0472,0.9296,0.0154,0.0077
2012,SBFSE346A,SE,0.039,0.9483,0.0049,0.0078
2012,SBFN03,SE,0.6025,0.3833,0.0126,0.0019
2012,SBFN04,SE,0.6427,0.3353,0.0201,0.002
2012,SBFN07,SE,0.5681,0.4181,0.0112,0.0028
2012,SBFN08,SE,0.5521,0.4239,0.0212,0.0028
2012,SBFSE002,SE,0.4773,0.4978,0.0232,0.0014
2012,SBFSE003/07,SE,0.5861,0.4008,0.0115,0.0015
2012,SBFSE005,SE,0.4357,0.5395,0.0219,0.0027
2012,SBFSE019,SE,0.5984,0.3768,0.0226,0.0023
2012,SBFSE026,SE,0.4745,0.5128,0.0105,0.0021
2012,SBFSE064,SE,0.6023,0.3856,0.0087,0.0034
2012,SBFSE008,SE,0.0159,0.0475,0.9351,0.0014
2012,SBFSE017,SE,0.0185,0.0655,0.9143,0.0016
2012,SBFSE027,SE,0.4067,0.0866,0.5025,0.004
2012,SBFSE028,SE,0.3577,0.1328,0.502,0.0077
2012,SBFSE047,SE,0.0144,0.3604,0.6206,0.0047
2012,SBFSE049,SE,0.0153,0.0434,0.9397,0.002
2012,SBFSE052,SE,0.0134,0.4329,0.5469,0.0065
2012,SBFSE053,SE,0.0134,0.5183,0.462,0.0067
2012,SBFSE057,SE,0.0124,0.1153,0.8709,0.0014
2012,SBFSE071,SE,0.344,0.255,0.3941,0.007
2012,SBFSE074,SE,0.0217,0.4645,0.5119,0.002
2012,SBFSE344A,SE,0.109,0.4511,0.4355,0.0041
2012,SBFSE349A,SE,0.4308,0.1019,0.4636,0.0035
