RELEASE_YEAR	SAMPLE	Detections	Release_Date	Weight	CB_ANCESTRY	HL	Sex
2012	SBFSE009	0	145	272	0.3836	0.176750126	2
2012	SBFSE010	0	145	278	0.3715	0	1
2012	SBFSE012	0	145	199	0.3344	0.170218529	2
2012	SBFSE028	1	145	158	0.3577	0.112595469	1
2012	SBFSE031	1	145	250	0.3005	0.214674913	2
2012	SBFSE032	0	145	270	0.2782	0.236635204	2
2012	SBFSE033	0	145	225	0.0374	0.181079204	1
2012	SBFSE034	0	145	140	0.0201	0.341948348	1
2012	SBFSE036	0	145	226	0.4152	0.191050745	1
2012	SBFSE037	0	145	138	0.0194	0.397006995	1
2012	SBFSE057	0	145	296	0.0124	0.411677123	1
2012	SBFSE058/018	0	145	152	0.3824	0	1
2012	SBFSE059	0	145	283	0.2645	0.056411001	2
2012	SBFLE020	0	145	183	0.0153	0.18013298	2
2012	SBFSE026	0	145	254	0.4745	0.282273093	2
2012	SBFSE030	0	145	137	0.0537	0.174526507	1
2016	LE1023	0	146	360	0.133	0.340682484	2
2016	LE1025	0	146	322	0.266666667	0.119975701	1
2016	LE1026	0	146	335	0.300333333	0.291412858	1
2016	BE1213	0	146	219	0.154	0.279588931	1
2016	BE1215	0	146	221	0.143111111	0.223427023	1
2016	BE1216	0	146	91	0.213555556	0.387383601	2
2016	BE1217	0	146	72	0.247222222	0.464893882	2
2016	BE1218	0	146	250	0.171	0.168236126	2
2016	BE1219	0	146	98	0.472444444	0.449030816	2
2016	BE1220	0	146	181	0.214444444	0.118529124	1
2016	BE1221	0	146	167	0.183444444	0.339509847	2
2016	BE1222	0	146	107	0.167888889	0.261199731	2
2016	BE1223	0	146	184	0.176888889	0.340225316	1
2013	DE204	0	148	102	0.000888889	0.404822913	1
2014	SBFSE415	0	148	240	0.028	0.338235229	2
2014	SBFLE424	0	148	349	0.342111111	0.30420318	2
2014	SBFLE434	0	148	173	0.021111111	0.131854021	1
2014	SBFLE428	0	148	289	0.105111111	0.168443331	1
2014	SBFLE440	0	148	148	0.098444444	0	2
2014	SBFLE446	0	148	165	0.124333333	0.177796598	1
2014	SBFLE450	0	148	169	0.035888889	0.236195714	1
2013	DE205	0	148	153	0.000888889	0.474306467	1
2013	DE206	0	148	275	0.005666667	0.114741498	2
2013	DE207	0	148	185	0.000888889	0.461304125	2
2013	DE208	0	148	300	0.000888889	0.232987503	2
2013	DE209	0	148	163	0.000888889	0.498446045	2
2013	DE210	0	148	133	0.000888889	0.34524792	2
2013	DE212	0	148	158	0.000888889	0.468861729	2
2013	DE213	0	148	125	0.001222222	0.180049274	1
2013	DE214	0	148	141	0.000888889	0.182724354	1
2013	DE215	0	148	110	0.509666667	0.052769636	2
2013	DE219	0	148	186	0.000888889	0.573784431	2
2013	DE220	0	148	243	0.433444444	0.109184389	1
2013	DE221	0	148	137	0.000888889	0.286956186	1
2013	DE222	0	148	209	0.000666667	0.286609523	2
2013	DE224	0	148	148	0.000888889	0.28721011	1
2013	DE225	0	148	130	0.003333333	0.17780594	2
2013	DE226	0	148	140	0.000888889	0.478144247	2
2013	DE227	0	148	111	0.000888889	0.278408316	1
2014	DE439	0	148	257	0.013222222	0.275177065	1
2014	DE440	0	148	207	0.127	0	2
2014	DE446	0	148	241	0.058666667	0.178174989	2
2014	SBFLE425	0	148	291	0.035	0.305488239	1
2014	SBFLE435	0	148	164	0.444444444	0.384875398	1
2014	SBFLE441	0	148	197	0.245222222	0.053325402	1
2014	SBFLE452	0	148	146	0.040222222	0.242539443	1
2014	DE434	0	148	244	0.030222222	0.228826593	1
2014	DE438	0	148	216	0.049333333	0.483839389	2
2014	DE445	0	148	239	0.012222222	0.355114336	2
2014	DE451	0	148	240	0.016111111	0.182511604	2
2014	SBFSE439	0	148	205	0.066555556	0	1
2014	SBFSE441	0	148	169	0.233444444	0.287290568	2
2014	SBFSE446	0	148	102	0.030444444	0.054300087	1
2014	SBFSE450	0	148	228	0.040555556	0.059258942	1
2014	SBFSE463	0	148	252	0.176	0.106789201	1
2014	DE463	0	149	285	0.013333333	0.305891571	2
2014	DE464	0	149	236	0.033	0.06305706	2
2014	DE465	0	149	278	0.016111111	0.464795255	1
2014	DE469	0	149	154	0.136555556	0.342797381	2
2014	DE470	0	149	340	0.142111111	0.110907902	2
2014	DE471	1	149	250	0.016777778	0.380302213	2
2014	DE475	0	149	194	0.042777778	0.290858912	1
2014	DE476	0	149	343	0.044666667	0.052245171	1
2014	DE477	0	149	285	0.147222222	0.053463798	2
2014	DE478	0	149	341	0.184666667	0.221091309	2
2014	DE479	0	149	320	0.034888889	0.625216258	2
