Year,Sample,CB,NV,WY,UT
2014,BE0464,0.186666667,0.407222222,0.394777778,0.011222222
2014,BE0473,0.362777778,0.498666667,0.122444444,0.016
2014,BE0480,0.285777778,0.635333333,0.066111111,0.012666667
2014,BE0483,0.384,0.284888889,0.303888889,0.027333333
2014,BE0493,0.441333333,0.450111111,0.102,0.006777778
2014,BE0495,0.308111111,0.434444444,0.235,0.022333333
2014,BE0496,0.346777778,0.611333333,0.026333333,0.015111111
2014,BE0506,0.048888889,0.829777778,0.064555556,0.056888889
2014,BE0512,0.114888889,0.824,0.041222222,0.019888889
2014,Buddy,0.021888889,0.846777778,0.119777778,0.011777778
2014,DE201,0.034555556,0.494444444,0.463666667,0.007333333
2014,DE345,0.017,0.168444444,0.503444444,0.311333333
2014,DE412,0.054333333,0.303777778,0.623444444,0.018444444
2014,DE415,0.170555556,0.459888889,0.314888889,0.054666667
2014,DE419,0.015333333,0.409,0.539666667,0.035777778
2014,DE424,0.031333333,0.627333333,0.329555556,0.012
2014,DE456,0.016444444,0.116666667,0.598888889,0.267888889
2014,DE467,0.016666667,0.237111111,0.738444444,0.008111111
2014,DE471,0.022,0.058444444,0.915333333,0.004
2014,DE486,0.051333333,0.589555556,0.218777778,0.14
2014,DE514,0.471888889,0.482666667,0.033777778,0.012
2014,DE521,0.200111111,0.385111111,0.311,0.103777778
2014,DE544,0.459,0.106111111,0.428333333,0.007
2014,DE574,0.173333333,0.512777778,0.252666667,0.060888889
2014,DE575,0.091666667,0.533111111,0.366222222,0.009111111
2014,DE577,0.038222222,0.112,0.629777778,0.220111111
2014,DE582,0.485777778,0.470666667,0.016888889,0.027
2014,DE589,0.190444444,0.548,0.236333333,0.025
2014,DE593,0.571333333,0.352888889,0.054222222,0.021666667
2014,DE604,0.087888889,0.433222222,0.467555556,0.011333333
2014,DE614,0.029,0.167666667,0.524,0.279555556
2014,DE617,0.031333333,0.239888889,0.722555556,0.006111111
2014,DE622A,0.019333333,0.074222222,0.901111111,0.005
2014,DE628,0.244666667,0.291555556,0.459666667,0.004
2014,SBFLE065,0.040555556,0.903,0.027444444,0.029
2014,SBFLE202,0.199555556,0.755888889,0.029444444,0.015333333
2014,SBFLE219,0.402222222,0.547777778,0.034,0.015666667
2014,SBFLE223,0.072666667,0.436777778,0.482777778,0.008111111
2014,SBFLE243,0.279666667,0.684555556,0.026,0.01
2014,SBFLE275,0.027666667,0.444555556,0.514222222,0.013777778
2014,SBFLE285,0.421333333,0.538666667,0.026,0.013666667
2014,SBFLE304,0.033444444,0.915777778,0.037888889,0.013222222
2014,SBFLE305,0.390222222,0.574333333,0.021,0.014555556
2014,SBFLE307,0.350111111,0.604222222,0.028111111,0.017333333
2014,SBFLE404,0.039888889,0.742333333,0.193555556,0.024333333
2014,SBFLE408,0.110777778,0.494222222,0.387666667,0.007222222
2014,SBFLE416,0.038888889,0.859777778,0.090111111,0.011444444
2014,SBFLE421,0.168111111,0.333333333,0.492333333,0.006111111
2014,SBFLE464,0.519111111,0.435777778,0.031222222,0.013666667
2014,SBFLE522,0.101222222,0.434555556,0.449888889,0.014444444
2014,SBFLE523,0.033777778,0.711777778,0.244,0.010111111
2014,SBFLE530,0.119777778,0.850444444,0.019777778,0.010111111
2014,SBFLE531,0.200555556,0.721111111,0.022,0.056888889
2014,SBFLE559,0.262777778,0.433555556,0.294444444,0.009111111
2014,SBFLE567,0.072555556,0.897222222,0.021888889,0.008444444
2014,SBFLE571,0.040333333,0.903666667,0.021666667,0.034444444
2014,SBFLE593,0.322777778,0.639444444,0.018,0.019444444
2014,SBFLE606,0.140333333,0.431333333,0.422444444,0.005888889
2014,SBFLE615,0.205888889,0.464333333,0.314777778,0.015
2014,SBFLE632,0.386777778,0.542777778,0.019,0.051111111
2014,SBFLE638,0.370555556,0.494666667,0.112777778,0.021777778
2014,SBFLE643,0.260555556,0.681555556,0.034555556,0.023333333
2014,SBFLE649A,0.530444444,0.435666667,0.027,0.006666667
2014,SBFLE651,0.115222222,0.841111111,0.033,0.010333333
2014,SBFLE654,0.049,0.122888889,0.821777778,0.006111111
2014,SBFLE656,0.309333333,0.644777778,0.030888889,0.015444444
2014,SBFLE664,0.117111111,0.825888889,0.050777778,0.006111111
2014,SBFLE665,0.384888889,0.570555556,0.028,0.016333333
2014,SBFLE671A,0.034111111,0.923666667,0.022,0.019777778
2014,SBFLE672,0.285,0.676222222,0.030888889,0.008111111
2014,SBFSE023,0.494555556,0.082333333,0.017888889,0.405777778
2014,SBFSE229,0.232,0.470222222,0.286555556,0.011222222
2014,SBFSE235,0.105444444,0.701333333,0.029111111,0.164111111
2014,SBFSE322,0.397333333,0.372777778,0.114555556,0.115111111
2014,SBFSE352,0.070333333,0.877888889,0.041111111,0.010333333
2014,SBFSE357,0.040888889,0.860666667,0.089777778,0.008666667
2014,SBFSE372A,0.118222222,0.834222222,0.038333333,0.009111111
2014,SBFSE378A,0.062444444,0.439222222,0.491666667,0.006555556
2014,SBFSE491,0.062444444,0.9,0.024555556,0.013
2014,SBFSE493,0.049555556,0.902888889,0.021888889,0.025777778
2014,SBFSE523,0.047444444,0.900666667,0.039444444,0.012444444
2014,SBFSE540,0.053111111,0.880555556,0.059,0.007222222
2014,SBFSE572,0.115111111,0.846222222,0.024222222,0.014333333
2014,SW201Kesha,0.225333333,0.367555556,0.400777778,0.006111111
2014,SW202Sage,0.066222222,0.439555556,0.489222222,0.005
2014,SW203Benjam,0.073111111,0.450333333,0.472444444,0.004
2014,Taggart,0.016111111,0.053,0.926888889,0.004
2015,WA00019,0.1858,0.69,0.0865,0.0381
